Om0,h,S8,n_s,log10fR0abs,log10H0rc,dataset
0.33279583957046266,0.7306064167059958,0.7984913775697351,1.0097016548272222,-6.916075181681663,0.6351221020799129,N60
0.29282442601397635,0.678340582549572,0.9408058940432965,0.9495901139918715,-5.725139128509909,0.1088010848965496,N60
0.2607511728070676,0.7024788619950414,0.6507944940589369,1.047839748719707,-4.5015144306235015,-0.213792717969045,N60
0.3147729743272066,0.6502197052352131,0.8073077091947198,0.9115975299384446,-5.849641790147871,0.935198623733595,N60
0.3065040081739426,0.7198580720461905,0.8895718238316476,0.923657402722165,-6.110534633509815,0.3309093954041601,N60
0.2683380673639476,0.67031459659338,0.7378844844177366,1.0171764988917857,-4.958700270392001,0.030785844102501903,N60
0.2847023018635809,0.7479806603863836,0.8591276811435818,0.9650604680646211,-5.317087860777974,-0.2688911159522831,N60
0.34004363138228655,0.698443480860442,0.7119870743714273,0.9753352410625666,-6.626189526170492,0.6531949033029378,N60
0.3485306134447455,0.7091211368329823,0.8403654983267188,1.0274451356381178,-5.553488086909056,0.841280008899048,N60
0.27594220312312245,0.6568585436791182,0.693213206063956,0.9317013063468039,-6.7065426874905825,-0.0944354308303445,N60
0.2704314379952848,0.7372483519837261,0.9082982058636844,0.993111211527139,-6.029571400023997,0.21758838235400624,N60
0.30394523628056047,0.6849798447452485,0.7566220512613654,0.9664759621024133,-4.721689413301647,0.5065605405252427,N60
0.3247778326272964,0.7421229829080402,0.6695228788070381,0.9438556278124451,-5.051005934830755,0.7603447598405182,N60
0.2504792700521648,0.6925823669880629,0.8260432733222842,0.9968352089636028,-6.2431625234894454,-0.40156814577057953,N60
0.29653101647272706,0.7139999596402049,0.7797266198322177,0.9080236799083651,-6.5231650792993605,-0.06715973801910874,N60
0.3286299677565694,0.6644538111053407,0.9220346006564796,1.0325196800753476,-5.176257696468383,0.4487177425995469,N60
0.3257183138281107,0.7177589015103877,0.7001783560961485,0.9606934036128223,-5.808668137062341,-0.43029717435128984,N60
0.2998088820837438,0.6670425958931446,0.8518568095751107,0.9797206202521921,-4.617885565850884,0.8089763124939053,N60
0.2537692469544709,0.7396313542500138,0.7493633625097573,0.9193269593641162,-5.606022305320948,0.3960236175451428,N60
0.3218540674075484,0.688921723049134,0.8965133558958769,1.0215252569876612,-6.954301358666271,-0.040037379739806034,N60
0.30098515916615726,0.7320227519609034,0.8281641577370464,1.04343605870381,-6.585465169511735,-0.14872135538607834,N60
0.27375772530213,0.6840532191097737,0.6858584556728602,0.9160195257514715,-5.433781904168427,0.8643325187265873,N60
0.27928060246631503,0.710145347751677,0.9196201775223016,1.005261343717575,-4.839868506416678,0.4737644507549703,N60
0.34555842429399486,0.662182107847184,0.76309750424698,0.9540487308986485,-6.149124249815941,0.2646308795548976,N60
0.3430157665163278,0.745492370147258,0.9383829034864902,0.9030340526718647,-4.759038805961609,0.08853524443693461,N60
0.28136395653709767,0.6947793085128069,0.781871969345957,1.0375276136677714,-5.911941712722182,0.2872252574656159,N60
0.2650118333287537,0.7236195897683502,0.8094383009709418,0.9388293794821948,-6.822037038393319,0.6896079627331346,N60
0.30946403201669453,0.6729006170295179,0.6671215035021305,1.0018797636497767,-5.514001569710672,-0.3363674968946725,N60
0.31769668627530334,0.703506411332637,0.7306355030275882,0.988158209854737,-5.213283882942051,0.14681146973744041,N60
0.25746124917641283,0.6555397409945727,0.8777784064412116,0.9714472790714354,-6.405286393593997,0.5717210954986514,N60
0.2895466144196689,0.72538339253515,0.7189436569809914,1.0225287550594657,-6.35829313704744,0.997020611166954,N60
0.33570743948221204,0.6774111925624311,0.8706286997534334,0.9366360022220761,-5.011234656441957,-0.2558822745457291,N60
0.33715281160548327,0.7006090888753533,0.9054263772442936,0.9523317520972342,-6.668426648713648,-0.35248984387144444,N60
